Question 1,Questions 2,Similarity
"&nbsp;Medical reason(s): If any of the following apply, provide safety tips and escalate to <strong>RN</strong> for further evaluation",COE(s) Discussed (select all that apply):,0
"(IADL) Are you experiencing any limitations to your performing activities such as housekeeping, managing money, preparing meals, shopping, taking medications, using the telephone, transportation?",Co-morbidities (select all that apply):,0
"<P>Additional details regarding ""member refuses"" dilated eye exam: (select <STRONG>best</STRONG> response)</P>","Compared to others your age, how would you describe your health?",0
<P>Colorectal cancer screening status:&nbsp; </P>,Complications Risk:,0
<P>Do you take your blood pressure medication as prescribed?</P>,CRS centers reviewed include the following :,0
"<P>Have you had a broken bone in the current calendar year? (excluding toes, fingers, face and skull fractures)</P>",Current Assistive Devices needed - Check all that apply:,0
<P>Member dilated eye exam status: </P>,Current treatment plan:,0
<P>Select STARS measure gaps: (select only those that apply)</P>,Current Work Status,0
<P>This member success story is being submitted on behalf of which <U>primary</U> <STRONG>Oncology</STRONG> program?</P>,Currently Employed?,0
<STRONG>For Diabetes Health Navigator USE ONLY:</STRONG> Select the correct level of care member was in when the&nbsp;flu vaccine&nbsp;gap was closed,Daily aspirin?,0
<STRONG>For Diabetes Health Navigator use ONLY:</STRONG> Select the correct level of care member was in when the cholesterol lowering medication gap was closed,Delivery type:,0
"<font size=""3""><strong>Management of Bladder Control:</strong></font> ""<em>Now I have some questions that can be sensitive about bladder control. This is an important health topic to talk about and I don't want you to feel uncomfortable at all."" </em>Duri",Delivery type?,0
"<font size=""3""><strong>Physical Activity in Older Adults:</strong></font> ""<em>Being able to move around every day with exercise or other physical activity is very important as we age. You should talk about this during doctor visits, or at least at your a",Department:,0
"<p>Are you currently having any diabetes related issues (symptoms)?&nbsp; &nbsp;(i.e. shaking, sweating, dizziness, increased thirst, hunger, moodiness or frequent urination<em> not related to a fluid pill</em>)</p>",Describe Caregiver - Check all that apply:,0
<p>Has your doctor ever told you that you have a heart condition(s)?     </p><p><br></p><p><em>If member is unsure of the medical terminology or is hesitant please prompt by the example diagnosis below.  </em></p><p><br></p><p>  or any of the following? (,Describe cognitive issue(s): Check all that apply,0
"<p>Provide fall prevention tips.<font color=""#ff0000""> <strong>(General Guidelines: Provide at least 3 safety tips and no more than 5, or as applicable, based on member's response)</strong></font></p><p><strong>Script:</strong> ""<u><strong>Falls put you a",Describe Current Functional Level - Check all that apply:,0
"<strong><font size=""3"">Fall Risk Management:</font></strong>&nbsp; ""<em>I'd like to talk about preventing falls with you. Falling is not a normal part of aging, so I want to talk about preventing that from happening to you</em>."" A fall is when your body ",Describe Diet - Check all that apply:,0
"<strong><font size=""3"">Pneumonia Vaccine</font>:</strong> should be assessed on all members 65 years of age and older.<p></p><p>""I realize this may have already been discussed, but if you don't mind, I would like to ask:""</p><p></p><p><br></p><p></p><p>Ha",Describe IADL Limitations - Check all that apply:,0
<strong>Nurse direction</strong>: Was ICUE medication tab updated with member's current medications and discharge medications?,Describe Psychosocial Barrier - Check all that apply:,0
<strong>Nurse direction</strong>: Were all discharge and current medications reviewed with member/responsible party?,Diagnosed with cancer?,0
ACE Inhibitor or ACE Alternative such as an ARB?,ACE Inhibitor or ACE Alternative such as an ARB?,1
About how many times?,About how many times?,1
Actions taken for further CSP services: (check all that apply),Actions taken for further CSP services: (check all that apply),1
Additional Right Care: (select all that apply),Additional opportunities: (select all that apply),1
Additional opportunities: (select all that apply),Additional Right Care: (select all that apply),1
